tconst	primaryTitle	startYear	runtimeMinutes
tt0015414	La tierra de los toros	2000	60
tt0015724	Dama de noche	1993	102
tt0025541	Mya ga naing	1996	97
tt0031458	El huésped del sevillano	1970	86
tt0073051	Syndicate Sadists	1975	90
tt0073052	Halfon Hill Doesn't Answer	1976	92
tt0073053	Give 'em Hell, Harry!	1975	104
tt0073055	The Golden Cage	1975	90
tt0073056	Jin mao shi wang	1975	84
tt0073059	Gone with the West	1974	92
tt0073061	The New Game of Death	1975	84
tt0073063	Gorozhane	1976	86
tt0073064	Gouma	1975	84
tt0073066	Short and Sweet	1976	84
tt0073067	Lover Boy	1975	95
tt0073069	The Great Adventure	1975	98
tt0073073	The Great Lester Boggs	1974	94
tt0073074	The Great MacArthy	1975	106
tt0073075	The Great Waldo Pepper	1975	107
tt0073076	Grey Gardens	1975	95
tt0073078	Ground Zero	1973	83
tt0073079	The Big Delirium	1975	90
tt0073080	Grzech Antoniego Grudy	1975	73
tt0073081	Guapa, rica y... especial	1976	91
tt0073082	Conjugal Warfare	1974	93
tt0073085	The Hornet's Nest	1976	90
tt0073087	Ha megjön József	1976	89
tt0073089	Attack at Dawn	1970	90
tt0073091	The Happy Hooker	1975	96
tt0073092	Hard Times	1975	93
tt0073096	Hearts of the West	1975	102
tt0073097	Happy Days Are Here Again	1975	100
tt0073098	Hedda	1975	102
tt0073102	Heißer Mund auf feuchten Lippen	1975	76
tt0073103	Hennessy	1975	103
tt0073104	Hera Pheri	1976	164
tt0073107	Hester Street	1975	89
tt0073109	The Hiding Place	1975	150
tt0073110	Los hijos de Scaramouche	1975	91
tt0073113	The Hindenburg	1975	125
tt0073114	The Story of Adele H	1975	96
tt0073115	The Story of O	1975	105
tt0073116	Hold-Up, instantánea de una corrupción	1974	95
tt0073120	Honey Pie	1976	84
tt0073121	Hong quan xiao zi	1975	106
tt0073122	Hooray for Hollywood	1982	85
tt0073123	Jumpin' at the Bedside	1976	83
tt0073124	Hot Dogs on Ibiza	1979	95
tt0073125	House of De Sade	1977	60
tt0073127	How Come Nobody's on Our Side?	1974	84
tt0073128	How Sweet It Is!	1978	64
tt0073129	How Willingly You Sing	1975	90
tt0073131	The 'Human' Factor	1975	95
tt0073133	Hustle	1975	120
tt0073135	Wives	1975	84
tt0073136	Hvem eier Tyssedal?	1975	86
tt0073137	Hyperion	1975	81
tt0073139	I Wonder Who's Killing Her Now?	1975	87
tt0073140	I död mans spår	1975	71
tt0073141	In the Sign of the Gemini	1975	97
tt0073142	The Red Ibis	1975	90
tt0073143	Ich denk', mich tritt ein Pferd	1975	91
tt0073145	Az idök kezdetén	1975	101
tt0073146	Do You Hear the Dogs Barking?	1975	82
tt0073147	Icarus	1975	91
tt0073149	Rain over Santiago	1975	112
tt0073151	Has Anybody Seen My Pants?	1975	88
tt0073152	Kings of the Road	1976	175
tt0073155	That Most Important Thing: Love	1975	109
tt0073156	Imposible para una solterona	1976	80
tt0073158	In Celebration	1975	131
tt0073159	In Search of Jewish Amsterdam	1975	70
tt0073163	Incorrigible	1975	100
tt0073164	The Incredible Machine	1975	60
tt0073165	Independence Day	1976	87
tt0073166	India Song	1975	120
tt0073167	Indira Gandhi	1975	180
tt0073168	Infra-Man	1975	88
tt0073169	Dirty Hands	1975	125
tt0073170	The School Teacher	1975	89
tt0073172	Inserts	1975	117
tt0073173	Inside Marilyn Chambers	1975	75
tt0073174	Inside Out	1975	97
tt0073177	L'intrépide	1975	90
tt0073181	It Seemed Like a Good Idea at the Time	1975	90
tt0073185	Ivan da Mariya	1975	88
tt0073186	Ivan i Kolombina	1975	80
tt0073188	The Year of the Cancer	1975	91
tt0073190	Once Is Not Enough	1975	121
tt0073191	Jai Santoshi Maa	1975	145
tt0073192	Nevermore, Forever	1976	78
tt0073193	Janis	1974	96
tt0073194	A járvány	1976	102
tt0073195	Jaws	1975	124
tt0073196	Je t'aime moi non plus	1976	89
tt0073197	Jean Carignan, violoneux	1975	88
tt0073198	Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles	1975	202
tt0073200	Everyone Dies Alone	1976	102
tt0073202	Jessi's Girls	1975	80
tt0073203	Playing with Fire	1975	112
tt0073204	The Game of Solitaire	1976	90
tt0073205	Wanted: Babysitter	1975	110
tt0073206	Black Magic	1975	93
tt0073207	Graveyard of Honor	1975	94
tt0073208	A Woman Called Sada Abe	1975	76
tt0073209	¡Jo, papá!	1975	97
tt0073210	Johnny Firecloud	1975	99
tt0073212	Around the World with Fanny Hill	1974	94
tt0073213	Journey Into Fear	1975	100
tt0073215	La joven casada	1975	99
tt0073218	Forbidden Love Game	1975	85
tt0073219	The Judge and the Assassin	1976	128
tt0073221	Just Before Nightfall	1971	106
tt0073222	Justine & Juliette	1975	91
tt0073223	Letter from My Village	1976	90
tt0073224	Kaala Sona	1975	137
tt0073226	Karayuki-san, the Making of a Prostitute	1975	75
tt0073227	Karlsson on the Roof	1974	99
tt0073230	Kazimierz Wielki	1976	153
tt0073231	Keep Busy	1975	75
tt0073233	Katie Tippel	1975	100
tt0073234	Cops vs Thugs	1975	100
tt0073235	Bread and Cigarettes	1975	72
tt0073236	Khel Khel Mein	1975	139
tt0073239	A Guy and a Gal	1975	94
tt0073240	The Killer Elite	1975	122
tt0073241	Killer Force	1976	102
tt0073242	Kilma, reina de las amazonas	1976	83
