tconst	averageRating
tt0015414	5.3
tt0015724	6.2
tt0025541	7.5
tt0031458	6.5
tt0033122	6.1
tt0073051	6.4
tt0073052	8.1
tt0073053	7.3
tt0073056	6.3
tt0073059	3.1
tt0073061	5.2
tt0073063	7.1
tt0073066	6.6
tt0073067	5
tt0073069	4.2
tt0073073	5
tt0073074	5.2
tt0073075	6.7
tt0073076	7.6
tt0073078	4.1
tt0073079	5.3
tt0073080	6.2
tt0073081	4.3
tt0073082	7.1
tt0073085	6
tt0073087	6.6
tt0073089	4.3
tt0073091	3.6
tt0073092	7.3
tt0073096	6.5
tt0073097	5.7
tt0073098	6.5
tt0073102	6.4
tt0073103	6
tt0073104	6.8
tt0073107	7
tt0073109	7.5
tt0073110	3.9
tt0073113	6.3
tt0073114	7.3
tt0073115	5.3
tt0073116	5.4
tt0073120	6.5
tt0073121	6.7
tt0073122	6.8
tt0073123	4.7
tt0073124	3.6
tt0073125	5.7
tt0073127	5.3
tt0073128	6.1
tt0073131	5.7
tt0073133	6.2
tt0073135	5.8
tt0073137	5.8
tt0073139	3.5
tt0073140	4.8
tt0073141	5.4
tt0073142	6
tt0073143	1.1
tt0073146	6.7
tt0073147	7.6
tt0073149	6.5
tt0073151	4.4
tt0073152	7.8
tt0073155	7.2
tt0073156	5.1
tt0073158	7.1
tt0073163	6.6
tt0073164	7.4
tt0073165	5.7
tt0073166	6.2
tt0073167	5.7
tt0073168	6.3
tt0073169	6.9
tt0073170	5.1
tt0073172	6.3
tt0073173	7.3
tt0073174	5.8
tt0073177	4.3
tt0073181	3.8
tt0073185	6.3
tt0073188	6.2
tt0073190	4.6
tt0073191	6.3
tt0073192	6.5
tt0073193	7.8
tt0073195	8
tt0073196	6.1
tt0073198	7.8
tt0073200	6.8
tt0073202	4.9
tt0073203	6.1
tt0073204	5.3
tt0073205	5.6
tt0073206	6.2
tt0073207	7.2
tt0073208	6.2
tt0073209	6.1
tt0073210	6.4
tt0073212	4.7
tt0073213	5.2
tt0073215	4.7
tt0073218	6.1
tt0073219	7.4
tt0073221	7.3
tt0073222	5.2
tt0073223	7
tt0073224	6.4
tt0073226	7.3
tt0073227	5.7
tt0073230	6.3
tt0073231	5.2
tt0073233	6.7
tt0073234	7.2
tt0073236	7.5
tt0073239	5.6
tt0073240	6
tt0073241	5.5
tt0073242	4.9
tt0073243	6.6
tt0073244	6.2
tt0073246	6.6
tt0073247	4.7
tt0073249	6.1
tt0073250	3.6
tt0073251	7.6
tt0073252	5.7
tt0073253	6.2
tt0073255	7.4
tt0073257	6.4
tt0073259	4.7
tt0073260	5.7
tt0073261	4.1
tt0073262	5.2
tt0073264	4.7
tt0073266	6.2
tt0073270	6
tt0073271	4.4
tt0073272	6.1
tt0073275	5.6
tt0073276	2.8
tt0073278	5.6
tt0073279	5.6
tt0073282	6.9
tt0073286	5
tt0073287	8.3
tt0073289	3.7
tt0073290	4.7
tt0073291	6.3
tt0073292	6.2
tt0073293	6.8
tt0073294	3.5
tt0073295	5.5
tt0073296	5.7
tt0073297	5.5
tt0073298	6.2
tt0073299	6.8
tt0073302	6.3
tt0073312	7.7
tt0073315	4
tt0073317	5.2
tt0073318	4.1
tt0073320	5.9
tt0073323	5.3
tt0073324	6
tt0073326	6.4
tt0073327	5.9
tt0073328	6.5
tt0073329	6.1
tt0073330	6.7
tt0073331	5.8
tt0073332	4.2
tt0073333	6.2
tt0073335	6.2
tt0073336	6.8
tt0073337	6.6
tt0073338	5.3
tt0073339	7.6
tt0073340	7.2
tt0073341	7.8
tt0073342	5.4
