iso_code	date	total_cases	new_cases	total_deaths	new_deaths
AFG	24/02/2020	1	1	0	0
AFG	25/02/2020	1	0	0	0
AFG	26/02/2020	1	0	0	0
AFG	27/02/2020	1	0	0	0
AFG	28/02/2020	1	0	0	0
AFG	29/02/2020	1	0	0	0
AFG	01/03/2020	1	0	0	0
AFG	02/03/2020	1	0	0	0
AFG	03/03/2020	2	1	0	0
AFG	04/03/2020	4	2	0	0
AFG	05/03/2020	4	0	0	0
AFG	06/03/2020	4	0	0	0
AFG	07/03/2020	4	0	0	0
AFG	08/03/2020	5	1	0	0
AFG	09/03/2020	7	2	0	0
AFG	10/03/2020	8	1	0	0
AFG	11/03/2020	11	3	0	0
AFG	12/03/2020	12	1	0	0
AFG	13/03/2020	13	1	0	0
AFG	14/03/2020	15	2	0	0
AFG	15/03/2020	16	1	0	0
AFG	16/03/2020	18	2	0	0
AFG	17/03/2020	20	2	0	0
AFG	18/03/2020	24	4	0	0
AFG	19/03/2020	25	1	0	0
AFG	20/03/2020	29	4	0	0
AFG	21/03/2020	30	1	0	0
AFG	22/03/2020	34	4	1	1
AFG	23/03/2020	41	7	1	0
AFG	24/03/2020	43	2	1	0
AFG	25/03/2020	76	33	2	1
AFG	26/03/2020	80	4	3	1
AFG	27/03/2020	91	11	3	0
AFG	28/03/2020	107	16	4	1
AFG	29/03/2020	118	11	4	0
AFG	30/03/2020	146	28	4	0
AFG	31/03/2020	175	29	4	0
AFG	01/04/2020	197	22	4	0
AFG	02/04/2020	240	43	4	0
AFG	03/04/2020	275	35	8	4
AFG	04/04/2020	300	25	10	2
AFG	05/04/2020	338	38	12	2
AFG	06/04/2020	368	30	15	3
AFG	07/04/2020	424	56	16	1
AFG	08/04/2020	445	21	16	0
AFG	09/04/2020	485	40	17	1
AFG	10/04/2020	532	47	18	1
AFG	11/04/2020	556	24	18	0
AFG	12/04/2020	608	52	19	1
AFG	13/04/2020	666	58	22	3
AFG	14/04/2020	715	49	23	1
AFG	15/04/2020	785	70	29	6
AFG	16/04/2020	841	56	30	1
AFG	17/04/2020	907	66	30	0
AFG	18/04/2020	934	27	30	0
AFG	19/04/2020	997	63	33	3
AFG	20/04/2020	1027	30	36	3
AFG	21/04/2020	1093	66	36	0
AFG	22/04/2020	1177	84	40	4
AFG	23/04/2020	1236	59	40	0
AFG	24/04/2020	1331	95	43	3
AFG	25/04/2020	1464	133	47	4
AFG	26/04/2020	1532	68	52	5
AFG	27/04/2020	1704	172	58	6
AFG	28/04/2020	1830	126	59	1
AFG	29/04/2020	1940	110	61	2
AFG	30/04/2020	2127	187	64	3
AFG	01/05/2020	2291	164	68	4
AFG	02/05/2020	2470	179	72	4
AFG	03/05/2020	2705	235	85	13
AFG	04/05/2020	2895	190	90	5
AFG	05/05/2020	3225	330	95	5
AFG	06/05/2020	3393	168	104	9
AFG	07/05/2020	3564	171	106	2
AFG	08/05/2020	3781	217	109	3
AFG	09/05/2020	4042	261	115	6
AFG	10/05/2020	4403	361	120	5
AFG	11/05/2020	4687	284	122	2
AFG	12/05/2020	4968	281	127	5
AFG	13/05/2020	5227	259	132	5
AFG	14/05/2020	5640	413	136	4
AFG	15/05/2020	6054	414	153	17
AFG	16/05/2020	6403	349	168	15
AFG	17/05/2020	6665	262	170	2
AFG	18/05/2020	7073	408	173	3
AFG	19/05/2020	7654	581	178	5
AFG	20/05/2020	8146	492	188	10
AFG	21/05/2020	8677	531	194	6
AFG	22/05/2020	9219	542	206	12
AFG	23/05/2020	10001	782	217	11
AFG	24/05/2020	10585	584	219	2
AFG	25/05/2020	11176	591	220	1
AFG	26/05/2020	11834	658	221	1
AFG	27/05/2020	12459	625	228	7
AFG	28/05/2020	13039	580	236	8
