iso_code	continent	location	population
AGO	Africa	Angola	32866268
BDI	Africa	Burundi	11890781
BEN	Africa	Benin	12123198
BFA	Africa	Burkina Faso	20903278
BWA	Africa	Botswana	2351625
CAF	Africa	Central African Rep	4829764
CIV	Africa	Cote d'Ivoire	26378275
CMR	Africa	Cameroon	26545864
COD	Africa	Democratic Republic	89561404
COG	Africa	Congo	5518092
COM	Africa	Comoros	869595
CPV	Africa	Cape Verde	555988
DJI	Africa	Djibouti	988002
DZA	Africa	Algeria	43851043
EGY	Africa	Egypt	102334403
ERI	Africa	Eritrea	3546427
ETH	Africa	Ethiopia	114963583
GAB	Africa	Gabon	2225728
GHA	Africa	Ghana	31072945
GIN	Africa	Guinea	13132792
GMB	Africa	Gambia	2416664
GNB	Africa	Guinea-Bissau	1967998
GNQ	Africa	Equatorial Guinea	1402985
KEN	Africa	Kenya	53771300
LBR	Africa	Liberia	5057677
LBY	Africa	Libya	6871287
LSO	Africa	Lesotho	2142252
MAR	Africa	Morocco	36910558
MDG	Africa	Madagascar	27691019
MLI	Africa	Mali	20250834
MOZ	Africa	Mozambique	31255435
MRT	Africa	Mauritania	4649660
MUS	Africa	Mauritius	1271767
MWI	Africa	Malawi	19129955
NAM	Africa	Namibia	2540916
NER	Africa	Niger	24206636
NGA	Africa	Nigeria	206139587
RWA	Africa	Rwanda	12952209
SDN	Africa	Sudan	43849269
SEN	Africa	Senegal	16743930
SHN	Africa	Saint Helena	6071
SLE	Africa	Sierra Leone	7976985
SOM	Africa	Somalia	15893219
SSD	Africa	South Sudan	11193729
STP	Africa	Sao Tome and Princi	219161
SWZ	Africa	Eswatini	1160164
SYC	Africa	Seychelles	98340
TCD	Africa	Chad	16425859
TGO	Africa	Togo	8278737
TUN	Africa	Tunisia	11818618
TZA	Africa	Tanzania	59734213
UGA	Africa	Uganda	45741000
ZAF	Africa	South Africa	59308690
ZMB	Africa	Zambia	18383956
ZWE	Africa	Zimbabwe	14862927
AFG	Asia	Afghanistan	38928341
ARE	Asia	United Arab Emirate	9890400
ARM	Asia	Armenia	2963234
AZE	Asia	Azerbaijan	10139175
BGD	Asia	Bangladesh	164689383
BHR	Asia	Bahrain	1701583
BRN	Asia	Brunei	437483
BTN	Asia	Bhutan	771612
CHN	Asia	China	1439323774
GEO	Asia	Georgia	3989175
HKG	Asia	Hong Kong	7496988
IDN	Asia	Indonesia	273523621
IND	Asia	India	1380004385
IRN	Asia	Iran	83992953
IRQ	Asia	Iraq	40222503
ISR	Asia	Israel	8655541
JOR	Asia	Jordan	10203140
JPN	Asia	Japan	126476458
KAZ	Asia	Kazakhstan	18776707
KGZ	Asia	Kyrgyzstan	6524191
KHM	Asia	Cambodia	16718971
